date,ticker,open,high,low,close,volume
2022-01-03,SPY,479.08,480.9,478.16,479.31,3421308
2022-01-04,SPY,479.29,479.29,473.98,474.46,1865571
2022-01-05,SPY,474.53,474.53,470.19,471.36,6335008
2022-01-06,SPY,470.28,474.57,470.28,473.27,12430043
2022-01-07,SPY,472.49,476.81,472.49,476.74,1484840
2022-01-10,SPY,477.35,477.35,475.75,476.29,14575121
2022-01-11,SPY,478.74,478.74,477.17,477.82,5816318
2022-01-12,SPY,479.12,479.12,475.07,476.01,14528891
2022-01-13,SPY,476.75,477.0,474.46,475.72,14134438
2022-01-14,SPY,475.85,478.95,475.85,477.93,6838702
2022-01-17,SPY,478.71,480.24,478.57,478.91,12171037
2022-01-18,SPY,478.54,481.13,477.92,480.16,606752
2022-01-19,SPY,481.88,481.88,478.08,478.5,6874396
2022-01-20,SPY,478.68,484.94,478.68,482.35,10191842
2022-01-21,SPY,481.94,485.86,481.94,484.75,5538738
2022-01-24,SPY,483.44,488.53,483.44,488.23,6832402
2022-01-25,SPY,489.04,489.04,484.56,484.78,2331070
2022-01-26,SPY,485.31,486.51,485.06,485.54,8576966
2022-01-27,SPY,484.15,484.15,482.53,483.12,10603176
2022-01-28,SPY,483.63,483.63,480.71,481.45,7197219
2022-01-31,SPY,481.36,484.31,481.36,484.15,9304348
2022-02-01,SPY,484.62,484.62,477.17,478.69,5746282
2022-02-02,SPY,478.29,478.29,473.39,475.37,4286530
2022-02-03,SPY,474.98,474.98,470.53,471.96,10894907
2022-02-04,SPY,472.23,477.9,472.23,475.28,8430155
2022-02-07,SPY,475.54,475.54,469.13,469.92,3063205
2022-02-08,SPY,468.77,472.55,468.77,470.14,11483574
2022-02-09,SPY,470.55,473.16,469.85,471.11,6529207
2022-02-10,SPY,470.07,478.58,470.07,476.77,14850413
2022-02-11,SPY,475.09,475.09,471.33,471.66,8925386
2022-02-14,SPY,473.92,473.92,466.72,467.97,10231298
2022-02-15,SPY,468.27,471.15,466.46,469.66,7615251
2022-02-16,SPY,469.5,469.5,465.84,466.75,5773334
2022-02-17,SPY,464.87,467.71,464.87,467.48,12481232
2022-02-18,SPY,467.62,467.62,463.16,465.8,5149851
2022-02-21,SPY,464.99,465.84,462.64,464.08,2062243
2022-02-22,SPY,463.07,473.36,463.07,472.12,3439705
2022-02-23,SPY,471.38,473.95,471.38,473.71,14317041
2022-02-24,SPY,472.26,476.24,472.26,475.55,2697329
2022-02-25,SPY,475.87,481.94,475.87,481.7,13429320
2022-02-28,SPY,482.98,487.22,482.98,486.87,13351290
2022-03-01,SPY,485.27,493.29,485.27,493.0,1869766
2022-03-02,SPY,492.55,502.42,492.55,499.66,5824530
2022-03-03,SPY,499.19,499.19,494.37,495.39,9191050
2022-03-04,SPY,497.06,497.06,494.98,495.51,4549813
2022-03-07,SPY,494.51,501.48,494.51,498.21,2411422
2022-03-08,SPY,499.31,499.31,492.98,493.51,1723627
2022-03-09,SPY,494.69,494.69,493.26,493.78,11215268
2022-03-10,SPY,492.95,498.17,492.95,496.05,7737889
2022-03-11,SPY,496.16,497.44,495.44,497.16,860462
2022-03-14,SPY,496.14,502.23,495.23,498.22,11205720
2022-03-15,SPY,499.66,499.66,492.04,492.53,12163233
2022-03-16,SPY,492.34,492.34,486.44,489.81,11594633
2022-03-17,SPY,487.74,489.25,487.73,487.88,9287229
2022-03-18,SPY,486.6,486.6,480.31,482.3,12692417
2022-03-21,SPY,482.7,495.51,482.7,493.66,12340247
2022-03-22,SPY,494.58,502.21,494.58,500.63,9179114
2022-03-23,SPY,500.34,500.34,497.08,499.27,2900209
2022-03-24,SPY,499.84,499.84,497.47,498.36,7981935
2022-03-25,SPY,498.36,499.69,498.36,499.13,10370360
2022-03-28,SPY,501.64,501.64,496.24,496.4,9817210
2022-03-29,SPY,497.82,499.3,496.31,498.08,8782873
2022-03-30,SPY,499.19,500.04,496.49,499.28,12110099
2022-03-31,SPY,499.34,499.34,494.57,494.99,13588470
2022-04-01,SPY,495.17,495.17,493.58,493.98,14521260
2022-04-04,SPY,494.33,494.33,483.71,483.99,12934796
2022-04-05,SPY,485.99,485.99,482.18,482.69,5404435
2022-04-06,SPY,481.47,486.68,481.47,486.17,5828921
2022-04-07,SPY,488.19,488.19,484.11,485.02,11669207
2022-04-08,SPY,485.98,489.58,485.98,486.87,5261237
2022-04-11,SPY,488.02,488.02,484.77,485.86,1009633
2022-04-12,SPY,486.73,489.34,486.73,489.04,3434866
2022-04-13,SPY,488.97,497.47,488.97,496.31,14419108
2022-04-14,SPY,495.48,496.8,493.4,494.4,14403763
2022-04-15,SPY,493.61,493.61,488.63,490.54,8047937
2022-04-18,SPY,487.85,489.94,487.18,488.13,9434402
2022-04-19,SPY,490.02,490.02,488.82,489.47,3917774
2022-04-20,SPY,491.2,491.2,484.83,487.3,9194104
2022-04-21,SPY,488.25,490.2,487.99,488.88,11092751
2022-04-22,SPY,487.87,490.31,487.87,489.94,5337747
2022-04-25,SPY,491.11,491.11,488.91,489.51,8547690
2022-04-26,SPY,488.54,491.48,488.0,489.16,6849608
2022-04-27,SPY,490.72,491.43,490.08,490.1,570913
2022-04-28,SPY,489.86,494.42,489.86,493.55,10907523
2022-04-29,SPY,493.68,493.68,485.08,485.79,1887324
2022-05-02,SPY,484.86,484.86,477.25,479.71,7087610
2022-05-03,SPY,478.08,482.34,478.08,481.54,6168433
2022-05-04,SPY,482.35,482.62,481.18,481.89,14957002
2022-05-05,SPY,482.5,483.74,482.21,482.57,4065789
2022-05-06,SPY,482.11,482.32,480.75,482.02,3992006
2022-05-09,SPY,482.98,484.59,482.98,484.17,12389722
2022-05-10,SPY,483.39,483.39,475.72,479.3,9285915
2022-05-11,SPY,480.55,482.75,480.55,482.32,12387095
2022-05-12,SPY,481.35,484.28,481.35,482.19,12650713
2022-05-13,SPY,481.78,482.32,478.68,480.04,1949715
2022-05-16,SPY,478.85,488.95,478.85,486.8,10793618
