politician,chamber,ticker,transaction_type,amount_range,trade_date,disclosure_date
Rep. Alex Morgan,House,MSFT,Sale,"$15,001 - $50,000",2022-02-03,2022-03-25
Rep. Alex Morgan,House,META,Sale,"$15,001 - $50,000",2022-02-04,2022-03-16
Rep. Alex Morgan,House,AAPL,Sale,"$100,001 - $250,000",2022-05-04,2022-06-17
Rep. Alex Morgan,House,GOOGL,Purchase,"$15,001 - $50,000",2022-08-09,2022-09-09
Rep. Alex Morgan,House,SPY,Sale,"$15,001 - $50,000",2023-04-10,2023-05-28
Rep. Alex Morgan,House,SPY,Sale,"$1,001 - $15,000",2023-07-28,2023-09-14
Rep. Alex Morgan,House,AMZN,Purchase,"$15,001 - $50,000",2023-08-30,2023-10-22
Rep. Alex Morgan,House,JPM,Purchase,"$1,001 - $15,000",2023-11-13,2023-12-25
Rep. Alex Morgan,House,NVDA,Purchase,"$15,001 - $50,000",2024-06-17,2024-08-04
Rep. Alex Morgan,House,GOOGL,Sale,"$15,001 - $50,000",2024-09-11,2024-11-03
Rep. Alex Morgan,House,NVDA,Purchase,"$50,001 - $100,000",2024-10-14,2024-11-30
Rep. Alex Morgan,House,NVDA,Sale,"$50,001 - $100,000",2024-12-11,2025-01-29
Sen. Casey Rivera,Senate,NVDA,Purchase,"$50,001 - $100,000",2022-02-11,2022-04-09
Sen. Casey Rivera,Senate,AMZN,Purchase,"$100,001 - $250,000",2022-02-21,2022-04-23
Sen. Casey Rivera,Senate,SPY,Purchase,"$15,001 - $50,000",2022-03-01,2022-04-19
Sen. Casey Rivera,Senate,JPM,Purchase,"$1,001 - $15,000",2022-04-20,2022-06-13
Sen. Casey Rivera,Senate,META,Purchase,"$15,001 - $50,000",2022-05-04,2022-06-04
Sen. Casey Rivera,Senate,AAPL,Purchase,"$1,001 - $15,000",2022-05-31,2022-07-09
Sen. Casey Rivera,Senate,META,Purchase,"$1,001 - $15,000",2022-06-23,2022-08-13
Sen. Casey Rivera,Senate,GOOGL,Sale,"$15,001 - $50,000",2022-08-23,2022-10-20
Sen. Casey Rivera,Senate,NVDA,Purchase,"$50,001 - $100,000",2022-11-03,2022-12-28
Sen. Casey Rivera,Senate,MSFT,Purchase,"$1,001 - $15,000",2022-12-02,2023-01-17
Sen. Casey Rivera,Senate,AMZN,Purchase,"$50,001 - $100,000",2023-01-11,2023-03-05
Sen. Casey Rivera,Senate,AMZN,Sale,"$15,001 - $50,000",2023-02-02,2023-03-18
Sen. Casey Rivera,Senate,META,Purchase,"$100,001 - $250,000",2023-03-29,2023-05-19
Sen. Casey Rivera,Senate,NVDA,Purchase,"$100,001 - $250,000",2023-06-12,2023-07-12
Sen. Casey Rivera,Senate,AAPL,Sale,"$15,001 - $50,000",2023-07-10,2023-08-15
Sen. Casey Rivera,Senate,AMZN,Sale,"$15,001 - $50,000",2023-07-17,2023-09-03
Sen. Casey Rivera,Senate,AAPL,Sale,"$1,001 - $15,000",2023-08-08,2023-09-15
Sen. Casey Rivera,Senate,NVDA,Purchase,"$15,001 - $50,000",2023-08-15,2023-10-12
Sen. Casey Rivera,Senate,AMZN,Purchase,"$15,001 - $50,000",2023-08-17,2023-09-20
Sen. Casey Rivera,Senate,MSFT,Sale,"$50,001 - $100,000",2023-10-09,2023-12-01
Sen. Casey Rivera,Senate,AMZN,Sale,"$1,001 - $15,000",2023-12-04,2024-01-16
Sen. Casey Rivera,Senate,MSFT,Purchase,"$50,001 - $100,000",2024-01-31,2024-03-02
Sen. Casey Rivera,Senate,SPY,Sale,"$100,001 - $250,000",2024-02-06,2024-03-30
Sen. Casey Rivera,Senate,MSFT,Sale,"$50,001 - $100,000",2024-05-10,2024-06-26
Sen. Casey Rivera,Senate,AMZN,Purchase,"$100,001 - $250,000",2024-06-21,2024-08-19
Sen. Casey Rivera,Senate,META,Sale,"$1,001 - $15,000",2024-08-06,2024-09-27
Sen. Casey Rivera,Senate,JPM,Purchase,"$15,001 - $50,000",2024-08-15,2024-10-15
Sen. Casey Rivera,Senate,JPM,Purchase,"$15,001 - $50,000",2024-09-26,2024-11-05
Sen. Casey Rivera,Senate,AMZN,Purchase,"$50,001 - $100,000",2024-10-31,2024-12-02
Sen. Casey Rivera,Senate,AAPL,Purchase,"$50,001 - $100,000",2024-11-14,2025-01-15
Rep. Jordan Lee,House,GOOGL,Purchase,"$100,001 - $250,000",2022-02-23,2022-04-17
Rep. Jordan Lee,House,JPM,Purchase,"$50,001 - $100,000",2022-05-04,2022-06-25
Rep. Jordan Lee,House,MSFT,Purchase,"$100,001 - $250,000",2022-06-28,2022-08-20
Rep. Jordan Lee,House,SPY,Purchase,"$1,001 - $15,000",2022-11-11,2022-12-30
Rep. Jordan Lee,House,AAPL,Purchase,"$50,001 - $100,000",2022-11-15,2023-01-17
Rep. Jordan Lee,House,GOOGL,Purchase,"$100,001 - $250,000",2023-06-20,2023-08-10
Rep. Jordan Lee,House,JPM,Purchase,"$50,001 - $100,000",2023-08-08,2023-10-09
Rep. Jordan Lee,House,JPM,Sale,"$1,001 - $15,000",2024-01-05,2024-02-25
Rep. Jordan Lee,House,AAPL,Purchase,"$1,001 - $15,000",2024-07-29,2024-09-23
Rep. Jordan Lee,House,GOOGL,Purchase,"$100,001 - $250,000",2024-09-13,2024-11-11
Rep. Jordan Lee,House,GOOGL,Purchase,"$100,001 - $250,000",2024-09-24,2024-11-27
Rep. Jordan Lee,House,SPY,Purchase,"$100,001 - $250,000",2024-11-08,2024-12-09
Rep. Jordan Lee,House,NVDA,Purchase,"$100,001 - $250,000",2024-11-26,2024-12-27
Sen. Taylor Kim,Senate,MSFT,Sale,"$1,001 - $15,000",2022-01-07,2022-02-09
Sen. Taylor Kim,Senate,META,Sale,"$15,001 - $50,000",2022-01-19,2022-02-23
Sen. Taylor Kim,Senate,JPM,Purchase,"$50,001 - $100,000",2022-02-16,2022-03-22
Sen. Taylor Kim,Senate,META,Purchase,"$15,001 - $50,000",2022-09-27,2022-11-12
Sen. Taylor Kim,Senate,JPM,Sale,"$100,001 - $250,000",2022-10-11,2022-11-28
Sen. Taylor Kim,Senate,NVDA,Purchase,"$50,001 - $100,000",2022-10-12,2022-11-30
Sen. Taylor Kim,Senate,JPM,Sale,"$1,001 - $15,000",2022-12-20,2023-02-15
Sen. Taylor Kim,Senate,NVDA,Sale,"$100,001 - $250,000",2023-01-20,2023-03-21
Sen. Taylor Kim,Senate,AMZN,Purchase,"$100,001 - $250,000",2023-01-30,2023-04-01
Sen. Taylor Kim,Senate,AMZN,Purchase,"$50,001 - $100,000",2023-03-02,2023-04-29
Sen. Taylor Kim,Senate,AMZN,Purchase,"$15,001 - $50,000",2023-03-09,2023-04-26
Sen. Taylor Kim,Senate,JPM,Sale,"$50,001 - $100,000",2023-03-29,2023-05-12
Sen. Taylor Kim,Senate,JPM,Purchase,"$15,001 - $50,000",2023-04-05,2023-06-03
Sen. Taylor Kim,Senate,JPM,Sale,"$50,001 - $100,000",2023-04-14,2023-06-15
Sen. Taylor Kim,Senate,MSFT,Sale,"$15,001 - $50,000",2023-04-17,2023-06-06
Sen. Taylor Kim,Senate,MSFT,Purchase,"$1,001 - $15,000",2023-05-01,2023-06-22
Sen. Taylor Kim,Senate,JPM,Purchase,"$100,001 - $250,000",2023-06-26,2023-08-18
Sen. Taylor Kim,Senate,AAPL,Sale,"$1,001 - $15,000",2023-08-10,2023-10-07
Sen. Taylor Kim,Senate,NVDA,Purchase,"$100,001 - $250,000",2023-08-18,2023-10-05
Sen. Taylor Kim,Senate,SPY,Sale,"$50,001 - $100,000",2023-09-19,2023-11-15
Sen. Taylor Kim,Senate,SPY,Purchase,"$100,001 - $250,000",2023-10-30,2024-01-01
Sen. Taylor Kim,Senate,NVDA,Sale,"$1,001 - $15,000",2024-02-09,2024-03-19
Sen. Taylor Kim,Senate,SPY,Purchase,"$100,001 - $250,000",2024-02-26,2024-03-29
Sen. Taylor Kim,Senate,META,Sale,"$100,001 - $250,000",2024-04-11,2024-06-08
Sen. Taylor Kim,Senate,JPM,Sale,"$1,001 - $15,000",2024-05-08,2024-06-21
Sen. Taylor Kim,Senate,META,Sale,"$100,001 - $250,000",2024-06-12,2024-08-03
Sen. Taylor Kim,Senate,AAPL,Purchase,"$50,001 - $100,000",2024-07-29,2024-09-24
Sen. Taylor Kim,Senate,NVDA,Purchase,"$100,001 - $250,000",2024-09-11,2024-11-09
Sen. Taylor Kim,Senate,MSFT,Purchase,"$15,001 - $50,000",2024-10-08,2024-11-29
Sen. Taylor Kim,Senate,META,Sale,"$50,001 - $100,000",2024-10-10,2024-12-11
Sen. Taylor Kim,Senate,AAPL,Sale,"$1,001 - $15,000",2024-12-06,2025-01-23
Sen. Taylor Kim,Senate,JPM,Sale,"$100,001 - $250,000",2024-12-27,2025-02-12
Rep. Sam Bradley,House,AMZN,Purchase,"$15,001 - $50,000",2022-01-12,2022-02-21
Rep. Sam Bradley,House,GOOGL,Sale,"$1,001 - $15,000",2022-02-28,2022-04-02
Rep. Sam Bradley,House,AAPL,Purchase,"$1,001 - $15,000",2022-03-25,2022-05-13
Rep. Sam Bradley,House,JPM,Sale,"$100,001 - $250,000",2022-03-31,2022-05-05
Rep. Sam Bradley,House,META,Sale,"$15,001 - $50,000",2022-04-22,2022-06-17
Rep. Sam Bradley,House,AAPL,Sale,"$100,001 - $250,000",2022-04-27,2022-06-09
Rep. Sam Bradley,House,MSFT,Purchase,"$15,001 - $50,000",2022-06-21,2022-08-18
Rep. Sam Bradley,House,GOOGL,Sale,"$15,001 - $50,000",2022-06-28,2022-08-06
Rep. Sam Bradley,House,GOOGL,Sale,"$100,001 - $250,000",2022-09-01,2022-10-13
Rep. Sam Bradley,House,GOOGL,Purchase,"$50,001 - $100,000",2022-10-05,2022-12-03
Rep. Sam Bradley,House,NVDA,Sale,"$50,001 - $100,000",2022-10-27,2022-12-13
