fund_name,ticker,shares,value_usd,quarter,period_of_report,portfolio_pct
Apex Capital Partners,AAPL,757972,137950904.0,2022Q1,2022-03-31,15.51
Apex Capital Partners,MSFT,879966,294788610.0,2022Q1,2022-03-31,33.15
Apex Capital Partners,GOOGL,170740,24586560.0,2022Q1,2022-03-31,2.76
Apex Capital Partners,NVDA,460465,136758105.0,2022Q1,2022-03-31,15.38
Apex Capital Partners,SPY,617526,295177428.0,2022Q1,2022-03-31,33.19
Apex Capital Partners,AAPL,619606,112768292.0,2022Q2,2022-06-30,12.53
Apex Capital Partners,MSFT,926499,310377165.0,2022Q2,2022-06-30,34.48
Apex Capital Partners,GOOGL,161453,23249232.0,2022Q2,2022-06-30,2.58
Apex Capital Partners,NVDA,442937,131552289.0,2022Q2,2022-06-30,14.61
Apex Capital Partners,SPY,674244,322288632.0,2022Q2,2022-06-30,35.8
Apex Capital Partners,AAPL,553759,100784138.0,2022Q3,2022-09-30,11.39
Apex Capital Partners,MSFT,809422,271156370.0,2022Q3,2022-09-30,30.64
Apex Capital Partners,GOOGL,132036,19013184.0,2022Q3,2022-09-30,2.15
Apex Capital Partners,NVDA,487958,144923526.0,2022Q3,2022-09-30,16.38
Apex Capital Partners,SPY,730245,349057110.0,2022Q3,2022-09-30,39.44
Apex Capital Partners,AAPL,540739,98414498.0,2022Q4,2022-12-31,11.16
Apex Capital Partners,MSFT,726845,243493075.0,2022Q4,2022-12-31,27.62
Apex Capital Partners,GOOGL,140846,20281824.0,2022Q4,2022-12-31,2.3
Apex Capital Partners,NVDA,595491,176860827.0,2022Q4,2022-12-31,20.06
Apex Capital Partners,SPY,716476,342475528.0,2022Q4,2022-12-31,38.85
Apex Capital Partners,AAPL,488702,88943764.0,2023Q1,2023-03-31,10.89
Apex Capital Partners,MSFT,799046,267680410.0,2023Q1,2023-03-31,32.77
Apex Capital Partners,GOOGL,128085,18444240.0,2023Q1,2023-03-31,2.26
Apex Capital Partners,NVDA,578022,171672534.0,2023Q1,2023-03-31,21.01
Apex Capital Partners,SPY,565230,270179940.0,2023Q1,2023-03-31,33.07
Apex Capital Partners,AAPL,476845,86785790.0,2023Q2,2023-06-30,10.95
Apex Capital Partners,MSFT,717333,240306555.0,2023Q2,2023-06-30,30.32
Apex Capital Partners,GOOGL,140984,20301696.0,2023Q2,2023-06-30,2.56
Apex Capital Partners,NVDA,532883,158266251.0,2023Q2,2023-06-30,19.97
Apex Capital Partners,SPY,600491,287034698.0,2023Q2,2023-06-30,36.21
Apex Capital Partners,AAPL,472841,86057062.0,2023Q3,2023-09-30,11.04
Apex Capital Partners,MSFT,724527,242716545.0,2023Q3,2023-09-30,31.13
Apex Capital Partners,GOOGL,146873,21149712.0,2023Q3,2023-09-30,2.71
Apex Capital Partners,NVDA,530604,157589388.0,2023Q3,2023-09-30,20.21
Apex Capital Partners,SPY,569370,272158860.0,2023Q3,2023-09-30,34.91
Apex Capital Partners,AAPL,442124,80466568.0,2023Q4,2023-12-31,10.0
Apex Capital Partners,MSFT,754028,252599380.0,2023Q4,2023-12-31,31.39
Apex Capital Partners,GOOGL,124527,17931888.0,2023Q4,2023-12-31,2.23
Apex Capital Partners,NVDA,601839,178746183.0,2023Q4,2023-12-31,22.21
Apex Capital Partners,SPY,575374,275028772.0,2023Q4,2023-12-31,34.17
Summit Ridge Investments,MSFT,244986,82070310.0,2022Q1,2022-03-31,20.03
Summit Ridge Investments,AMZN,132191,22075897.0,2022Q1,2022-03-31,5.39
Summit Ridge Investments,META,510794,172648372.0,2022Q1,2022-03-31,42.14
Summit Ridge Investments,NVDA,243280,72254160.0,2022Q1,2022-03-31,17.64
Summit Ridge Investments,JPM,360844,60621792.0,2022Q1,2022-03-31,14.8
Summit Ridge Investments,MSFT,248660,83301100.0,2022Q2,2022-06-30,21.16
Summit Ridge Investments,AMZN,147875,24695125.0,2022Q2,2022-06-30,6.27
Summit Ridge Investments,META,477931,161540678.0,2022Q2,2022-06-30,41.04
Summit Ridge Investments,NVDA,240771,71508987.0,2022Q2,2022-06-30,18.17
Summit Ridge Investments,JPM,313171,52612728.0,2022Q2,2022-06-30,13.37
Summit Ridge Investments,MSFT,259601,86966335.0,2022Q3,2022-09-30,22.06
Summit Ridge Investments,AMZN,147668,24660556.0,2022Q3,2022-09-30,6.26
Summit Ridge Investments,META,478594,161764772.0,2022Q3,2022-09-30,41.04
Summit Ridge Investments,NVDA,237739,70608483.0,2022Q3,2022-09-30,17.91
Summit Ridge Investments,JPM,298685,50179080.0,2022Q3,2022-09-30,12.73
Summit Ridge Investments,MSFT,311438,104331730.0,2022Q4,2022-12-31,25.29
Summit Ridge Investments,AMZN,148119,24735873.0,2022Q4,2022-12-31,6.0
Summit Ridge Investments,META,489946,165601748.0,2022Q4,2022-12-31,40.14
Summit Ridge Investments,NVDA,216068,64172196.0,2022Q4,2022-12-31,15.55
Summit Ridge Investments,JPM,319834,53732112.0,2022Q4,2022-12-31,13.02
Summit Ridge Investments,MSFT,308361,103300935.0,2023Q1,2023-03-31,24.54
Summit Ridge Investments,AMZN,153401,25617967.0,2023Q1,2023-03-31,6.09
Summit Ridge Investments,META,525313,177555794.0,2023Q1,2023-03-31,42.18
Summit Ridge Investments,NVDA,214271,63638487.0,2023Q1,2023-03-31,15.12
Summit Ridge Investments,JPM,302511,50821848.0,2023Q1,2023-03-31,12.07
Summit Ridge Investments,MSFT,250938,84064230.0,2023Q2,2023-06-30,21.48
Summit Ridge Investments,AMZN,148649,24824383.0,2023Q2,2023-06-30,6.34
Summit Ridge Investments,META,496634,167862292.0,2023Q2,2023-06-30,42.9
Summit Ridge Investments,NVDA,194677,57819069.0,2023Q2,2023-06-30,14.78
Summit Ridge Investments,JPM,337676,56729568.0,2023Q2,2023-06-30,14.5
Summit Ridge Investments,MSFT,270667,90673445.0,2023Q3,2023-09-30,23.0
Summit Ridge Investments,AMZN,126888,21190296.0,2023Q3,2023-09-30,5.38
Summit Ridge Investments,META,502741,169926458.0,2023Q3,2023-09-30,43.1
Summit Ridge Investments,NVDA,181949,54038853.0,2023Q3,2023-09-30,13.71
Summit Ridge Investments,JPM,347584,58394112.0,2023Q3,2023-09-30,14.81
Summit Ridge Investments,MSFT,253351,84872585.0,2023Q4,2023-12-31,20.64
Summit Ridge Investments,AMZN,121416,20276472.0,2023Q4,2023-12-31,4.93
Summit Ridge Investments,META,541473,183017874.0,2023Q4,2023-12-31,44.51
Summit Ridge Investments,NVDA,193875,57580875.0,2023Q4,2023-12-31,14.0
Summit Ridge Investments,JPM,389557,65445576.0,2023Q4,2023-12-31,15.92
Harbor View Asset Management,AAPL,399015,72620730.0,2022Q1,2022-03-31,19.55
Harbor View Asset Management,GOOGL,779572,112258368.0,2022Q1,2022-03-31,30.22
Harbor View Asset Management,JNJ,295364,50211880.0,2022Q1,2022-03-31,13.52
Harbor View Asset Management,JPM,728907,122456376.0,2022Q1,2022-03-31,32.96
Harbor View Asset Management,BRK-B,47659,13964087.0,2022Q1,2022-03-31,3.76
Harbor View Asset Management,AAPL,364833,66399606.0,2022Q2,2022-06-30,18.1
Harbor View Asset Management,GOOGL,812997,117071568.0,2022Q2,2022-06-30,31.92
Harbor View Asset Management,JNJ,274424,46652080.0,2022Q2,2022-06-30,12.72
Harbor View Asset Management,JPM,710948,119439264.0,2022Q2,2022-06-30,32.56
Harbor View Asset Management,BRK-B,58740,17210820.0,2022Q2,2022-06-30,4.69
Harbor View Asset Management,AAPL,426969,77708358.0,2022Q3,2022-09-30,20.61
Harbor View Asset Management,GOOGL,864553,124495632.0,2022Q3,2022-09-30,33.01
Harbor View Asset Management,JNJ,259884,44180280.0,2022Q3,2022-09-30,11.72
Harbor View Asset Management,JPM,669865,112537320.0,2022Q3,2022-09-30,29.84
Harbor View Asset Management,BRK-B,62103,18196179.0,2022Q3,2022-09-30,4.83
Harbor View Asset Management,AAPL,478102,87014564.0,2022Q4,2022-12-31,22.99
Harbor View Asset Management,GOOGL,829166,119399904.0,2022Q4,2022-12-31,31.55
Harbor View Asset Management,JNJ,250386,42565620.0,2022Q4,2022-12-31,11.25
Harbor View Asset Management,JPM,674565,113326920.0,2022Q4,2022-12-31,29.94
Harbor View Asset Management,BRK-B,55202,16174186.0,2022Q4,2022-12-31,4.27
Harbor View Asset Management,AAPL,426146,77558572.0,2023Q1,2023-03-31,21.33
Harbor View Asset Management,GOOGL,751157,108166608.0,2023Q1,2023-03-31,29.75
Harbor View Asset Management,JNJ,261324,44425080.0,2023Q1,2023-03-31,12.22
Harbor View Asset Management,JPM,689243,115792824.0,2023Q1,2023-03-31,31.85
Harbor View Asset Management,BRK-B,60222,17645046.0,2023Q1,2023-03-31,4.85
Harbor View Asset Management,AAPL,366922,66779804.0,2023Q2,2023-06-30,20.11
Harbor View Asset Management,GOOGL,660001,95040144.0,2023Q2,2023-06-30,28.62
Harbor View Asset Management,JNJ,270851,46044670.0,2023Q2,2023-06-30,13.86
Harbor View Asset Management,JPM,641159,107714712.0,2023Q2,2023-06-30,32.43
Harbor View Asset Management,BRK-B,56370,16516410.0,2023Q2,2023-06-30,4.97
Harbor View Asset Management,AAPL,396650,72190300.0,2023Q3,2023-09-30,21.92
Harbor View Asset Management,GOOGL,630805,90835920.0,2023Q3,2023-09-30,27.59
Harbor View Asset Management,JNJ,261405,44438850.0,2023Q3,2023-09-30,13.5
Harbor View Asset Management,JPM,628331,105559608.0,2023Q3,2023-09-30,32.06
Harbor View Asset Management,BRK-B,55515,16265895.0,2023Q3,2023-09-30,4.94
Harbor View Asset Management,AAPL,418384,76145888.0,2023Q4,2023-12-31,22.64
Harbor View Asset Management,GOOGL,569742,82042848.0,2023Q4,2023-12-31,24.39
Harbor View Asset Management,JNJ,257471,43770070.0,2023Q4,2023-12-31,13.01
Harbor View Asset Management,JPM,686759,115375512.0,2023Q4,2023-12-31,34.3
Harbor View Asset Management,BRK-B,64986,19040898.0,2023Q4,2023-12-31,5.66
Meridian Growth Fund,NVDA,603135,179131095.0,2022Q1,2022-03-31,35.16
Meridian Growth Fund,META,160435,54227030.0,2022Q1,2022-03-31,10.64
Meridian Growth Fund,AMZN,393385,65695295.0,2022Q1,2022-03-31,12.89
Meridian Growth Fund,AAPL,311640,56718480.0,2022Q1,2022-03-31,11.13
Meridian Growth Fund,SPY,321588,153719064.0,2022Q1,2022-03-31,30.17
Meridian Growth Fund,NVDA,724865,215284905.0,2022Q2,2022-06-30,39.91
Meridian Growth Fund,META,143479,48495902.0,2022Q2,2022-06-30,8.99
Meridian Growth Fund,AMZN,338376,56508792.0,2022Q2,2022-06-30,10.48
Meridian Growth Fund,AAPL,362866,66041612.0,2022Q2,2022-06-30,12.24
Meridian Growth Fund,SPY,320252,153080456.0,2022Q2,2022-06-30,28.38
Meridian Growth Fund,NVDA,698375,207417375.0,2022Q3,2022-09-30,39.36
Meridian Growth Fund,META,145639,49225982.0,2022Q3,2022-09-30,9.34
Meridian Growth Fund,AMZN,300617,50203039.0,2022Q3,2022-09-30,9.53
Meridian Growth Fund,AAPL,373776,68027232.0,2022Q3,2022-09-30,12.91
Meridian Growth Fund,SPY,318195,152097210.0,2022Q3,2022-09-30,28.86
Meridian Growth Fund,NVDA,758367,225234999.0,2022Q4,2022-12-31,39.34
Meridian Growth Fund,META,155624,52600912.0,2022Q4,2022-12-31,9.19
Meridian Growth Fund,AMZN,323231,53979577.0,2022Q4,2022-12-31,9.43
Meridian Growth Fund,AAPL,379482,69065724.0,2022Q4,2022-12-31,12.06
Meridian Growth Fund,SPY,359034,171618252.0,2022Q4,2022-12-31,29.98
Meridian Growth Fund,NVDA,793327,235618119.0,2023Q1,2023-03-31,40.53
Meridian Growth Fund,META,148986,50357268.0,2023Q1,2023-03-31,8.66
Meridian Growth Fund,AMZN,302305,50484935.0,2023Q1,2023-03-31,8.68
Meridian Growth Fund,AAPL,358336,65217152.0,2023Q1,2023-03-31,11.22
Meridian Growth Fund,SPY,375946,179702188.0,2023Q1,2023-03-31,30.91
Meridian Growth Fund,NVDA,708814,210517758.0,2023Q2,2023-06-30,39.62
Meridian Growth Fund,META,150834,50981892.0,2023Q2,2023-06-30,9.6
Meridian Growth Fund,AMZN,282162,47121054.0,2023Q2,2023-06-30,8.87
Meridian Growth Fund,AAPL,322412,58678984.0,2023Q2,2023-06-30,11.04
Meridian Growth Fund,SPY,343113,164008014.0,2023Q2,2023-06-30,30.87
Meridian Growth Fund,NVDA,707464,210116808.0,2023Q3,2023-09-30,37.31
Meridian Growth Fund,META,160050,54096900.0,2023Q3,2023-09-30,9.61
Meridian Growth Fund,AMZN,266904,44572968.0,2023Q3,2023-09-30,7.92
Meridian Growth Fund,AAPL,268866,48933612.0,2023Q3,2023-09-30,8.69
Meridian Growth Fund,SPY,429696,205394688.0,2023Q3,2023-09-30,36.47
Meridian Growth Fund,NVDA,770728,228906216.0,2023Q4,2023-12-31,38.81
Meridian Growth Fund,META,171986,58131268.0,2023Q4,2023-12-31,9.85
Meridian Growth Fund,AMZN,301662,50377554.0,2023Q4,2023-12-31,8.54
Meridian Growth Fund,AAPL,270852,49295064.0,2023Q4,2023-12-31,8.36
Meridian Growth Fund,SPY,425055,203176290.0,2023Q4,2023-12-31,34.44
Keystone Value Partners,BRK-B,106840,31304120.0,2022Q1,2022-03-31,6.01
Keystone Value Partners,JNJ,253886,43160620.0,2022Q1,2022-03-31,8.28
Keystone Value Partners,JPM,358393,60210024.0,2022Q1,2022-03-31,11.55
Keystone Value Partners,MSFT,513603,172057005.0,2022Q1,2022-03-31,33.01
Keystone Value Partners,SPY,448609,214435102.0,2022Q1,2022-03-31,41.15
Keystone Value Partners,BRK-B,113714,33318202.0,2022Q2,2022-06-30,6.12
Keystone Value Partners,JNJ,224191,38112470.0,2022Q2,2022-06-30,7.0
Keystone Value Partners,JPM,343165,57651720.0,2022Q2,2022-06-30,10.59
Keystone Value Partners,MSFT,576918,193267530.0,2022Q2,2022-06-30,35.49
Keystone Value Partners,SPY,464946,222244188.0,2022Q2,2022-06-30,40.81
Keystone Value Partners,BRK-B,115368,33802824.0,2022Q3,2022-09-30,6.47
Keystone Value Partners,JNJ,227992,38758640.0,2022Q3,2022-09-30,7.42
Keystone Value Partners,JPM,340870,57266160.0,2022Q3,2022-09-30,10.96
Keystone Value Partners,MSFT,552722,185161870.0,2022Q3,2022-09-30,35.44
Keystone Value Partners,SPY,433940,207423320.0,2022Q3,2022-09-30,39.7
Keystone Value Partners,BRK-B,124692,36534756.0,2022Q4,2022-12-31,6.52
Keystone Value Partners,JNJ,232324,39495080.0,2022Q4,2022-12-31,7.05
Keystone Value Partners,JPM,360151,60505368.0,2022Q4,2022-12-31,10.79
Keystone Value Partners,MSFT,576895,193259825.0,2022Q4,2022-12-31,34.47
Keystone Value Partners,SPY,482843,230798954.0,2022Q4,2022-12-31,41.17
Keystone Value Partners,BRK-B,129227,37863511.0,2023Q1,2023-03-31,6.93
Keystone Value Partners,JNJ,247631,42097270.0,2023Q1,2023-03-31,7.7
Keystone Value Partners,JPM,364970,61314960.0,2023Q1,2023-03-31,11.22
Keystone Value Partners,MSFT,533168,178611280.0,2023Q1,2023-03-31,32.68
Keystone Value Partners,SPY,474127,226632706.0,2023Q1,2023-03-31,41.47
Keystone Value Partners,BRK-B,135325,39650225.0,2023Q2,2023-06-30,7.14
Keystone Value Partners,JNJ,261056,44379520.0,2023Q2,2023-06-30,7.99
Keystone Value Partners,JPM,407336,68432448.0,2023Q2,2023-06-30,12.33
Keystone Value Partners,MSFT,513550,172039250.0,2023Q2,2023-06-30,30.99
Keystone Value Partners,SPY,482699,230730122.0,2023Q2,2023-06-30,41.56
Keystone Value Partners,BRK-B,133926,39240318.0,2023Q3,2023-09-30,6.92
Keystone Value Partners,JNJ,294978,50146260.0,2023Q3,2023-09-30,8.84
Keystone Value Partners,JPM,419603,70493304.0,2023Q3,2023-09-30,12.42
Keystone Value Partners,MSFT,529802,177483670.0,2023Q3,2023-09-30,31.28
Keystone Value Partners,SPY,481321,230071438.0,2023Q3,2023-09-30,40.55
Keystone Value Partners,BRK-B,131514,38533602.0,2023Q4,2023-12-31,6.91
Keystone Value Partners,JNJ,260791,44334470.0,2023Q4,2023-12-31,7.95
Keystone Value Partners,JPM,377266,63380688.0,2023Q4,2023-12-31,11.37
Keystone Value Partners,MSFT,537382,180022970.0,2023Q4,2023-12-31,32.3
Keystone Value Partners,SPY,483406,231068068.0,2023Q4,2023-12-31,41.46
