insider_name,title,company,ticker,transaction_type,shares,price,date
John Smith,CEO,AAPL,AAPL,Sale,45283,377.08,2022-06-27
John Smith,CEO,AAPL,AAPL,Sale,33622,348.41,2022-10-05
John Smith,CEO,AAPL,AAPL,Purchase,41537,225.62,2022-11-09
John Smith,CEO,AAPL,AAPL,Sale,6879,422.77,2023-02-23
John Smith,CEO,AAPL,AAPL,Sale,22846,199.66,2023-04-07
John Smith,CEO,AAPL,AAPL,Sale,32760,61.41,2023-08-09
John Smith,CEO,AAPL,AAPL,Sale,19183,419.13,2023-08-18
John Smith,CEO,AAPL,AAPL,Sale,15343,326.88,2023-10-31
John Smith,CEO,AAPL,AAPL,Sale,9083,344.67,2023-11-02
John Smith,CEO,AAPL,AAPL,Sale,17149,297.09,2024-07-17
Jane Doe,CFO,MSFT,MSFT,Purchase,27924,268.55,2022-02-01
Jane Doe,CFO,MSFT,MSFT,Purchase,35565,463.99,2022-04-21
Jane Doe,CFO,MSFT,MSFT,Sale,5705,162.01,2022-07-06
Jane Doe,CFO,MSFT,MSFT,Sale,34929,447.89,2022-07-28
Jane Doe,CFO,MSFT,MSFT,Sale,49944,482.93,2022-08-26
Jane Doe,CFO,MSFT,MSFT,Purchase,16086,211.43,2022-09-21
Jane Doe,CFO,MSFT,MSFT,Purchase,43945,64.57,2022-11-10
Jane Doe,CFO,MSFT,MSFT,Purchase,1500,453.5,2023-05-30
Jane Doe,CFO,MSFT,MSFT,Purchase,39084,430.42,2023-06-13
Jane Doe,CFO,MSFT,MSFT,Sale,6737,379.13,2023-08-01
Jane Doe,CFO,MSFT,MSFT,Purchase,3085,168.16,2024-04-11
Jane Doe,CFO,MSFT,MSFT,Sale,48949,97.41,2024-06-19
Jane Doe,CFO,MSFT,MSFT,Purchase,45508,309.61,2024-07-02
Jane Doe,CFO,MSFT,MSFT,Sale,13617,260.98,2024-07-23
Jane Doe,CFO,MSFT,MSFT,Sale,45811,327.66,2024-11-07
Jane Doe,CFO,MSFT,MSFT,Purchase,15242,191.22,2024-12-16
Robert Johnson,Director,NVDA,NVDA,Sale,11258,380.56,2022-04-08
Robert Johnson,Director,NVDA,NVDA,Purchase,13175,282.01,2022-07-11
Robert Johnson,Director,NVDA,NVDA,Sale,30632,348.12,2022-10-11
Robert Johnson,Director,NVDA,NVDA,Sale,32565,132.73,2022-10-19
